Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2024-12-31T16:00:00-0600,Money Movement,Debit Interest,,,,FROM 12/16 THRU 12/31 @10 1/2%,-143.95,0,,--,0.00,,,,,,,,-143.95,USD
2024-12-31T16:00:00-0600,Money Movement,Dividend,,DSL,Equity,DOUBLELINE INCOME SOLUTIONS FD,"1,100.00",0,,--,0.00,,,,,,,,"1,100.00",USD
2024-12-30T13:38:32-0600,Trade,Buy,BUY,/MNQH5,Future,Bought 1 /MNQH5 @ 21510.0,14.00,1,14.00,-0.85,-0.67,,,,,,,358713529,12.48,USD
2024-12-30T13:35:10-0600,Trade,Sell,SELL,/MNQH5,Future,Sold 1 /MNQH5 @ 21517.0,0.00,1,0.00,-0.85,-0.67,,,,,,,358712552,-1.52,USD
2024-12-30T13:33:10-0600,Trade,Buy,BUY,/MNQH5,Future,Bought 1 /MNQH5 @ 21520.0,-50.00,1,-50.00,-0.85,-0.67,,,,,,,358711901,-51.52,USD
2024-12-30T13:25:25-0600,Trade,Sell,SELL,/MNQH5,Future,Sold 1 /MNQH5 @ 21495.0,0.00,1,0.00,-0.85,-0.67,,,,,,,358709225,-1.52,USD
2024-12-30T01:02:51-0600,Trade,Sell,SELL,/MNQH5,Future,Sold 1 /MNQH5 @ 21641.0,-36.00,1,-36.00,-0.85,-0.67,,,,,,,358524851,-37.52,USD
2024-12-30T01:02:03-0600,Trade,Sell,SELL,/MESH5,Future,Sold 1 /MESH5 @ 6010.5,-40.00,1,-40.00,-0.85,-0.67,,,,,,,358524781,-41.52,USD
2024-12-30T00:49:35-0600,Trade,Buy,BUY,/MNQH5,Future,Bought 1 /MNQH5 @ 21659.0,0.00,1,0.00,-0.85,-0.67,,,,,,,358524793,-1.52,USD
2024-12-30T00:44:34-0600,Trade,Sell,SELL,/MNQH5,Future,Sold 1 /MNQH5 @ 21665.0,-40.00,1,-40.00,-0.85,-0.67,,,,,,,358524515,-41.52,USD
2024-12-30T00:16:53-0600,Trade,Buy,BUY,/MNQH5,Future,Bought 1 /MNQH5 @ 21685.0,0.00,1,0.00,-0.85,-0.67,,,,,,,358524483,-1.52,USD
2024-12-30T00:15:12-0600,Trade,Buy,BUY,/MESH5,Future,Bought 1 /MESH5 @ 6018.5,0.00,1,0.00,-0.85,-0.67,,,,,,,358524433,-1.52,USD
