symbol,expDate,openId,closeId,quantity,openDate,closeDate,openCost,closeCost,gainPerUnit,netProceeds,openHashId,closeHashId
/MESZ4,,1673,1672,1,2024-09-23T00:06:07-0500,2024-09-23T00:09:07-0500,-1.52,-1.52,1.25,-1.79,1859c2d801f7b1ae70cc5a3c4c92eeb7,493e0de754fa528b66ec9b9d8eb4e4d2
/MESZ4,,1671,1670,1,2024-09-23T00:11:04-0500,2024-09-23T00:13:56-0500,-1.52,-1.52,2.5,-0.54,4eec25bf7f7b4bed1d706b3a7c990d9e,0a6d41b5bfc49eb534b50eb12ad251c6
/MESZ4,,1669,1668,2,2024-09-24T08:40:41-0500,2024-09-24T08:42:01-0500,-1.52,-1.52,3.75,1.42,122fd4fc80894815773a83bec6e60ac2,90c97214107edf6122b10c36fc4a377d
/MESZ4,,1667,1664,3,2024-09-24T15:01:15-0500,2024-09-24T19:14:56-0500,-1.52,-1.52,20,50.88,453e45b6032679c2900004f1eb6faa97,23929364df15e44a24439b258d8378a2
/MESZ4,,1666,1664,2,2024-09-24T15:31:03-0500,2024-09-24T19:14:56-0500,-1.52,-1.52,20,33.92,ff3f45d94734a9d142d8236b85dcdfa4,23929364df15e44a24439b258d8378a2
/MESZ4,,1663,1662,5,2024-09-25T08:19:28-0500,2024-09-25T08:30:30-0500,-1.52,-1.52,15,59.80,f70f2c3b38f28b55298d7ebde8ba3436,7de9da8fb8e3dfab5cb68528ef18e67b
/ESZ4,,1661,1660,1,2024-09-25T08:38:48-0500,2024-09-25T08:40:06-0500,-2.95,-2.95,75,69.10,086fcd1635359333c28505e1b916af3c,6fb4cdde1a7a2a0896f31c23ed84b521
/ESZ4,,1659,1658,1,2024-09-25T08:48:36-0500,2024-09-25T08:55:13-0500,-2.95,-2.95,37.5,31.60,95f7ff792d8ed26a71ae9acca19caef4,fb87a5ee431aa38fe9e256dcd6bbf2ec
/ESZ4,,1657,1655,1,2024-09-25T09:16:07-0500,2024-09-25T09:25:56-0500,-2.95,-2.95,137.5,131.60,5d0f0a1d3ce3cfd2966a7540088747a7,0ccd35acfd83b02923cca2a3447812e0
/ESZ4,,1656,1655,1,2024-09-25T09:24:46-0500,2024-09-25T09:25:56-0500,-2.95,-2.95,137.5,131.60,afe253f03378cd0d21e210a56b442c44,0ccd35acfd83b02923cca2a3447812e0
/ESZ4,,1654,1651,1,2024-09-25T11:56:44-0500,2024-09-25T12:57:56-0500,-2.95,-2.95,-25,-30.90,a50350848d4b3e5226f689a10b31a369,e95bdb338443c1a23dd73800eed9e6c8
/ESZ4,,1653,1650,1,2024-09-25T12:01:28-0500,2024-09-25T12:59:41-0500,-2.95,-2.95,300,294.10,43ea7073f2fc405c0f182e4c0b17fe6e,babc2c8d4d2af9ba3c3b5c8ff3768a82
/ESZ4,,1652,1649,1,2024-09-25T12:22:13-0500,2024-09-25T13:24:05-0500,-2.95,-2.95,-37.5,-43.40,8699ef63bd071260b0eb9767b987571b,3c90c071d2ef694e2b4cea9ed2c2c735
/MESZ4,,1648,1647,2,2024-09-25T13:25:50-0500,2024-09-25T13:27:47-0500,-1.52,-1.52,5,3.92,fbcd4d829a29bc5d44844d5fbc530f64,4da7e8114e298b6cfe32b1815517bc11
/ESZ4,,1646,1645,1,2024-09-25T13:28:43-0500,2024-09-25T13:33:18-0500,-2.95,-2.95,-62.5,-68.40,dc047921e500d691efb7b4e9818f9d2c,fc03d4822c3c1e925d9127c3426060c8
/MESZ4,,1644,1643,5,2024-09-25T13:35:56-0500,2024-09-25T13:45:29-0500,-1.52,-1.52,5,9.80,67f290fb2fa99f1af63db682162e5078,c058ce95c3c5b326e698b1e98ec6894d
/MESZ4,,1642,1639,2,2024-09-25T20:31:42-0500,2024-09-25T20:46:40-0500,-1.52,-1.52,-8.75,-23.58,0dda2e6633419bebf5b60551510afe4e,186b68cfadaa150adb39f0e2c9915464
/MESZ4,,1640,1638,1,2024-09-25T20:34:51-0500,2024-09-25T20:48:08-0500,-1.52,-1.52,-6.25,-9.29,1ddeed1a254bc464bb654737dd7fa2f3,7cff9f618689cb2947bf8af8e2c3fec4
