Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2023-12-30T13:47:47-0600,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,0.02,0,,--,0.00,,,,,,,,0.02,USD
2023-12-29T16:00:00-0600,Money Movement,Credit Interest,,,,INTEREST ON CREDIT BALANCE,0.24,0,,--,0.00,,,,,,,,0.24,USD
2023-12-28T15:13:39-0600,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  231229P04720000,Equity Option,Sold 2 SPX 12/29/23 Put 4720.00 @ 0.42,84.00,2,42.00,0.00,-1.54,100,SPXW,SPX,12/29/23,4720,PUT,301215645,82.45,USD
2023-12-28T15:13:39-0600,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  231229P04750000,Equity Option,Bought 2 SPX 12/29/23 Put 4750.00 @ 1.42,-284.00,2,-142.00,0.00,-1.54,100,SPXW,SPX,12/29/23,4750,PUT,301215645,-285.54,USD
2023-12-28T10:01:51-0600,Trade,Sell to Open,SELL_TO_OPEN,SPXW  231229P04750000,Equity Option,Sold 1 SPX 12/29/23 Put 4750.00 @ 2.62,262.00,1,262.00,-1.00,-0.77,100,SPXW,SPX,12/29/23,4750,PUT,301122152,260.23,USD
2023-12-28T10:01:51-0600,Trade,Buy to Open,BUY_TO_OPEN,SPXW  231229P04720000,Equity Option,Bought 1 SPX 12/29/23 Put 4720.00 @ 0.97,-97.00,1,-97.00,-1.00,-0.77,100,SPXW,SPX,12/29/23,4720,PUT,301122152,-98.77,USD
2023-12-28T08:38:39-0600,Trade,Buy to Open,BUY_TO_OPEN,SPXW  231229P04720000,Equity Option,Bought 1 SPX 12/29/23 Put 4720.00 @ 1.00,-100.00,1,-100.00,-1.00,-0.77,100,SPXW,SPX,12/29/23,4720,PUT,301073808,-101.77,USD
2023-12-28T08:38:39-0600,Trade,Sell to Open,SELL_TO_OPEN,SPXW  231229P04750000,Equity Option,Sold 1 SPX 12/29/23 Put 4750.00 @ 3.00,300.00,1,300.00,-1.00,-0.77,100,SPXW,SPX,12/29/23,4750,PUT,301073808,298.23,USD
2023-12-27T09:48:12-0600,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  231229C04620000,Equity Option,Sold 1 SPX 12/29/23 Call 4620.00 @ 157.15,"15,715.00",1,"15,715.00",0.00,-0.77,100,SPXW,SPX,12/29/23,4620,CALL,300945424,"15,714.23",USD
2023-12-27T09:48:12-0600,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  231229C04500000,Equity Option,Bought 1 SPX 12/29/23 Call 4500.00 @ 276.85,"-27,685.00",1,"-27,685.00",0.00,-0.77,100,SPXW,SPX,12/29/23,4500,CALL,300945424,"-27,685.77",USD
2023-12-27T09:39:59-0600,Trade,Buy to Open,BUY_TO_OPEN,SPXW  240131C05000000,Equity Option,Bought 1 SPX 01/31/24 Call 5000.00 @ 6.41,-641.00,1,-641.00,-1.00,-0.77,100,SPXW,SPX,1/31/24,5000,CALL,300943242,-642.77,USD
2023-12-27T09:39:59-0600,Trade,Sell to Open,SELL_TO_OPEN,SPXW  240131C04950000,Equity Option,Sold 1 SPX 01/31/24 Call 4950.00 @ 12.66,"1,266.00",1,"1,266.00",-1.00,-0.77,100,SPXW,SPX,1/31/24,4950,CALL,300943242,"1,264.23",USD
2023-12-27T05:44:47-0600,Receive Deliver,Special Dividend,BUY_TO_OPEN,QQQ   240105C00419780,Equity Option,Special dividend: Open 2.0 QQQ   240105C00419780,-162.00,2,-81.00,--,0.00,100,QQQ,QQQ,1/05/24,419.78,CALL,,-162.00,USD
2023-12-27T05:44:47-0600,Receive Deliver,Special Dividend,SELL_TO_CLOSE,QQQ   240105C00420000,Equity Option,Special dividend: Close 2.0 QQQ   240105C00420000,162.00,2,81.00,--,0.00,100,QQQ,QQQ,1/05/24,420,CALL,,162.00,USD
2023-12-27T05:44:42-0600,Receive Deliver,Special Dividend,SELL_TO_OPEN,QQQ   240105C00409780,Equity Option,Special dividend: Open 2.0 QQQ   240105C00409780,634.00,2,317.00,--,0.00,100,QQQ,QQQ,1/05/24,409.78,CALL,,634.00,USD
2023-12-27T05:44:42-0600,Receive Deliver,Special Dividend,BUY_TO_CLOSE,QQQ   240105C00410000,Equity Option,Special dividend: Close 2.0 QQQ   240105C00410000,-634.00,2,-317.00,--,0.00,100,QQQ,QQQ,1/05/24,410,CALL,,-634.00,USD
2023-12-26T10:05:13-0600,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  231229C04620000,Equity Option,Sold 1 SPX 12/29/23 Call 4620.00 @ 153.26,"15,326.00",1,"15,326.00",0.00,-0.77,100,SPXW,SPX,12/29/23,4620,CALL,300787091,"15,325.23",USD
2023-12-26T10:05:13-0600,Trade,Sell to Open,SELL_TO_OPEN,SPXW  240119C04500000,Equity Option,Sold 1 SPX 01/19/24 Call 4500.00 @ 291.75,"29,175.00",1,"29,175.00",-1.00,-0.77,100,SPXW,SPX,1/19/24,4500,CALL,300787091,"29,173.23",USD
2023-12-26T10:05:13-0600,Trade,Buy to Open,BUY_TO_OPEN,SPXW  240119C04620000,Equity Option,Bought 1 SPX 01/19/24 Call 4620.00 @ 179.54,"-17,954.00",1,"-17,954.00",-1.00,-0.77,100,SPXW,SPX,1/19/24,4620,CALL,300787091,"-17,955.77",USD
2023-12-26T10:05:13-0600,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  231229C04500000,Equity Option,Bought 1 SPX 12/29/23 Call 4500.00 @ 273.07,"-27,307.00",1,"-27,307.00",0.00,-0.77,100,SPXW,SPX,12/29/23,4500,CALL,300787091,"-27,307.77",USD
2023-12-23T14:19:27-0600,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,0.03,0,,--,0.00,,,,,,,,0.03,USD
2023-12-22T13:00:01-0600,Trade,Buy to Open,BUY_TO_OPEN,SPXW  240119C04850000,Equity Option,Bought 1 SPX 01/19/24 Call 4850.00 @ 28.21,"-2,821.00",1,"-2,821.00",-1.00,-0.77,100,SPXW,SPX,1/19/24,4850,CALL,300664292,"-2,822.77",USD
2023-12-22T13:00:01-0600,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  240105C04800000,Equity Option,Bought 1 SPX 01/05/24 Call 4800.00 @ 26.86,"-2,686.00",1,"-2,686.00",0.00,-0.77,100,SPXW,SPX,1/05/24,4800,CALL,300664292,"-2,686.77",USD
2023-12-22T13:00:01-0600,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  240105C04850000,Equity Option,Sold 1 SPX 01/05/24 Call 4850.00 @ 11.95,"1,195.00",1,"1,195.00",0.00,-0.77,100,SPXW,SPX,1/05/24,4850,CALL,300664292,"1,194.23",USD
2023-12-22T13:00:01-0600,Trade,Sell to Open,SELL_TO_OPEN,SPXW  240119C04800000,Equity Option,Sold 1 SPX 01/19/24 Call 4800.00 @ 48.12,"4,812.00",1,"4,812.00",-1.00,-0.77,100,SPXW,SPX,1/19/24,4800,CALL,300664292,"4,810.23",USD
2023-12-21T11:09:25-0600,Trade,Sell to Open,SELL_TO_OPEN,QQQ   240105C00410000,Equity Option,Sold 2 QQQ 01/05/24 Call 410.00 @ 3.17,634.00,2,317.00,-2.00,-0.25,100,QQQ,QQQ,1/05/24,410,CALL,300445363,631.74,USD
2023-12-21T11:09:25-0600,Trade,Buy to Open,BUY_TO_OPEN,QQQ   240105C00420000,Equity Option,Bought 2 QQQ 01/05/24 Call 420.00 @ 0.81,-162.00,2,-81.00,-2.00,-0.24,100,QQQ,QQQ,1/05/24,420,CALL,300445363,-164.24,USD
2023-12-21T09:07:05-0600,Trade,Buy to Open,BUY_TO_OPEN,DSL,Equity,Bought 99 DSL @ 11.95,"-1,183.05",99,-11.95,0.00,-0.08,,,,,,,300388332,"-1,183.13",USD
2023-12-21T09:05:15-0600,Trade,Buy to Open,BUY_TO_OPEN,DSL,Equity,Bought 1 DSL @ 11.95,-11.95,1,-11.95,0.00,0.00,,,,,,,300388332,-11.95,USD
2023-12-21T08:43:11-0600,Trade,Buy to Open,BUY_TO_OPEN,SPXW  240105C04850000,Equity Option,Bought 1 SPX 01/05/24 Call 4850.00 @ 9.05,-905.00,1,-905.00,-1.00,-0.77,100,SPXW,SPX,1/05/24,4850,CALL,300372640,-906.77,USD
2023-12-21T08:43:11-0600,Trade,Sell to Open,SELL_TO_OPEN,SPXW  240105C04800000,Equity Option,Sold 1 SPX 01/05/24 Call 4800.00 @ 20.55,"2,055.00",1,"2,055.00",-1.00,-0.77,100,SPXW,SPX,1/05/24,4800,CALL,300372640,"2,053.23",USD
2023-12-20T14:41:03-0600,Trade,Sell to Open,SELL_TO_OPEN,SPXW  240105C04800000,Equity Option,Sold 1 SPX 01/05/24 Call 4800.00 @ 14.84,"1,484.00",1,"1,484.00",-1.00,-0.77,100,SPXW,SPX,1/05/24,4800,CALL,300317714,"1,482.23",USD
2023-12-20T14:41:03-0600,Trade,Buy to Open,BUY_TO_OPEN,SPXW  240105C04850000,Equity Option,Bought 1 SPX 01/05/24 Call 4850.00 @ 6.24,-624.00,1,-624.00,-1.00,-0.77,100,SPXW,SPX,1/05/24,4850,CALL,300317714,-625.77,USD
2023-12-20T14:10:07-0600,Trade,Buy to Open,BUY_TO_OPEN,DSL,Equity,Bought 100 DSL @ 11.96,"-1,195.80",100,-11.96,0.00,-0.08,,,,,,,300298983,"-1,195.88",USD
2023-12-20T14:08:35-0600,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  240105C04830000,Equity Option,Sold 1 SPX 01/05/24 Call 4830.00 @ 9.06,906.00,1,906.00,0.00,-0.77,100,SPXW,SPX,1/05/24,4830,CALL,300295854,905.23,USD
2023-12-20T14:08:35-0600,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  240105C04800000,Equity Option,Bought 1 SPX 01/05/24 Call 4800.00 @ 15.06,"-1,506.00",1,"-1,506.00",0.00,-0.77,100,SPXW,SPX,1/05/24,4800,CALL,300295854,"-1,506.77",USD
2023-12-20T13:48:46-0600,Trade,Buy to Open,BUY_TO_OPEN,DSL,Equity,Bought 200 DSL @ 11.97,"-2,394.00",200,-11.97,0.00,-0.16,,,,,,,300229074,"-2,394.16",USD
2023-12-20T13:38:27-0600,Trade,Sell to Open,SELL_TO_OPEN,SPXW  240105C04800000,Equity Option,Sold 1 SPX 01/05/24 Call 4800.00 @ 27.55,"2,755.00",1,"2,755.00",-1.00,-0.77,100,SPXW,SPX,1/05/24,4800,CALL,300276011,"2,753.23",USD
2023-12-20T13:38:27-0600,Trade,Buy to Open,BUY_TO_OPEN,SPXW  240105C04830000,Equity Option,Bought 1 SPX 01/05/24 Call 4830.00 @ 17.35,"-1,735.00",1,"-1,735.00",-1.00,-0.77,100,SPXW,SPX,1/05/24,4830,CALL,300276011,"-1,736.77",USD
2023-12-20T13:33:12-0600,Trade,Buy to Open,BUY_TO_OPEN,DSL,Equity,Bought 200 DSL @ 12.00,"-2,400.00",200,-12.00,0.00,-0.16,,,,,,,300228981,"-2,400.16",USD
2023-12-20T11:03:58-0600,Trade,Buy to Open,BUY_TO_OPEN,DSL,Equity,Bought 200 DSL @ 12.03,"-2,406.00",200,-12.03,0.00,-0.16,,,,,,,300220295,"-2,406.16",USD
